split,image_path,xml_path,object_name,before,after,reason
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/00006.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/00006.xml,پ,"(134.0, 57.0, 200.0, 153.0)","(134, 57, 200, 152)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/00119.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/00119.xml,5,"(23.0, 2.0, 40.0, 37.0)","(23, 2, 40, 36)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/00706.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/00706.xml,1,"(413.0, 65.0, 457.0, 140.0)","(413, 65, 457, 139)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/01573.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/01573.xml,2,"(216.0, 18.0, 244.0, 64.0)","(216, 18, 244, 63)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/01627.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/01627.xml,1,"(900.0, 98.0, 981.0, 279.0)","(900, 98, 981, 278)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/02803.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/02803.xml,9,"(125.0, 46.0, 200.0, 214.0)","(125, 46, 200, 213)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/03025.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/03025.xml,ی,"(83.0, 5.0, 129.0, 54.0)","(83, 5, 129, 53)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/03025_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/03025_extra.xml,ی,"(83.0, 5.0, 129.0, 54.0)","(83, 5, 129, 53)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/04472.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/04472.xml,7,"(393.0, 29.0, 438.0, 98.0)","(393, 29, 437, 98)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/04472_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/Advanced_CLPR/Datasets/DS_model_2/train/04472_extra.xml,7,"(393.0, 29.0, 438.0, 98.0)","(393, 29, 437, 98)",Tiny overflow clamped: max_overflow=1.000px
