class_idx,native_label,english_label,train_count,valid_count
0,0,0,2424,100
1,1,1,4457,100
2,2,2,4690,100
3,3,3,3539,100
4,4,4,6423,100
5,5,5,4279,100
6,6,6,6366,100
7,7,7,4354,100
8,8,8,4201,100
9,9,9,4144,100
10,D,D,53,10
11,S,S,800,0
12,الف,A,2425,100
13,ب,B,2455,100
14,ت,Taxi,2431,100
15,ث,C,77,3
16,ج,J,2454,96
17,د,Dal,2463,100
18,ز,Z,97,2
19,س,Sin,2400,100
20,ص,Sad,2445,99
21,ط,T,2447,100
22,ع,Public,2092,100
23,ق,Gh,2416,100
24,ل,L,2435,97
25,م,M,2427,100
26,ن,N,2490,100
27,و,V,2446,100
28,پ,P,2422,100
29,ی,Y,2412,100
30,♿︎,Disable,2411,100
31,ﻫ,H,2492,100
