,precision,recall,f1-score,support
0,1.0,1.0,1.0,100.0
1,1.0,0.99,0.9949748743718593,100.0
2,1.0,1.0,1.0,100.0
3,1.0,1.0,1.0,100.0
4,1.0,1.0,1.0,100.0
5,1.0,1.0,1.0,100.0
6,1.0,1.0,1.0,100.0
7,1.0,1.0,1.0,100.0
8,1.0,1.0,1.0,100.0
9,0.9900990099009901,1.0,0.9950248756218906,100.0
D,1.0,1.0,1.0,10.0
S,0.0,0.0,0.0,0.0
A,1.0,1.0,1.0,100.0
B,1.0,1.0,1.0,100.0
Taxi,1.0,1.0,1.0,100.0
C,1.0,1.0,1.0,3.0
J,1.0,1.0,1.0,96.0
Dal,1.0,1.0,1.0,100.0
Z,1.0,1.0,1.0,2.0
Sin,1.0,1.0,1.0,100.0
Sad,1.0,1.0,1.0,99.0
T,1.0,1.0,1.0,100.0
Public,1.0,1.0,1.0,100.0
Gh,1.0,0.99,0.9949748743718593,100.0
L,1.0,1.0,1.0,97.0
M,1.0,1.0,1.0,100.0
N,0.9900990099009901,1.0,0.9950248756218906,100.0
V,1.0,1.0,1.0,100.0
P,1.0,1.0,1.0,100.0
Y,1.0,1.0,1.0,100.0
Disable,1.0,1.0,1.0,100.0
H,1.0,1.0,1.0,100.0
accuracy,0.9992874955468471,0.9992874955468471,0.9992874955468471,0.9992874955468471
macro avg,0.9681311881188119,0.968125,0.9681249843746094,2807.0
weighted avg,0.9992945500463835,0.9992874955468471,0.9992874777337905,2807.0
