class_idx,native_label,english_label,total,correct,accuracy
0,0,0,100,100,1.0
1,1,1,100,99,0.99
2,2,2,100,100,1.0
3,3,3,100,100,1.0
4,4,4,100,100,1.0
5,5,5,100,100,1.0
6,6,6,100,100,1.0
7,7,7,100,100,1.0
8,8,8,100,100,1.0
9,9,9,100,100,1.0
10,D,D,10,10,1.0
11,S,S,0,0,
12,الف,A,100,100,1.0
13,ب,B,100,100,1.0
14,ت,Taxi,100,100,1.0
15,ث,C,3,3,1.0
16,ج,J,96,96,1.0
17,د,Dal,100,100,1.0
18,ز,Z,2,2,1.0
19,س,Sin,100,100,1.0
20,ص,Sad,99,99,1.0
21,ط,T,100,100,1.0
22,ع,Public,100,100,1.0
23,ق,Gh,100,99,0.99
24,ل,L,97,97,1.0
25,م,M,100,100,1.0
26,ن,N,100,100,1.0
27,و,V,100,100,1.0
28,پ,P,100,100,1.0
29,ی,Y,100,100,1.0
30,♿︎,Disable,100,100,1.0
31,ﻫ,H,100,100,1.0
